iters time:	2	Sun Apr  7 21:08:01 2019

Substep:	60
MEL:	695897	MELES:	192304
Equs:	366030	Non-zeroes:	6995133
iters time:	2	Sun Apr  7 21:08:03 2019

Substep:	61
MEL:	696363	MELES:	192304
Equs:	366030	Non-zeroes:	6999327
iters time:	2	Sun Apr  7 21:08:05 2019

Substep:	62
MEL:	696806	MELES:	192304
Equs:	366030	Non-zeroes:	7003314
iters time:	2	Sun Apr  7 21:08:07 2019

Substep:	63
MEL:	697324	MELES:	192304
Equs:	366030	Non-zeroes:	7007976
iters time:	2	Sun Apr  7 21:08:09 2019

Substep:	64
MEL:	697784	MELES:	192304
Equs:	366030	Non-zeroes:	7012116
iters time:	2	Sun Apr  7 21:08:12 2019

Substep:	65
MEL:	698255	MELES:	192304
Equs:	366030	Non-zeroes:	7016355
iters time:	2	Sun Apr  7 21:08:14 2019

Substep:	66
MEL:	698701	MELES:	192304
Equs:	366030	Non-zeroes:	7020369
iters time:	2	Sun Apr  7 21:08:16 2019

Substep:	67
MEL:	699261	MELES:	192304
Equs:	366030	Non-zeroes:	7025409
iters time:	2	Sun Apr  7 21:08:18 2019

Substep:	68
MEL:	699743	MELES:	192304
Equs:	366030	Non-zeroes:	7029747
iters time:	2	Sun Apr  7 21:08:20 2019

Substep:	69
MEL:	700210	MELES:	192304
Equs:	366030	Non-zeroes:	7033950
iters time:	2	Sun Apr  7 21:08:22 2019

Substep:	70
MEL:	700655	MELES:	192304
Equs:	366030	Non-zeroes:	7037955
iters time:	2	Sun Apr  7 21:08:24 2019

Substep:	71
MEL:	701154	MELES:	192304
Equs:	366030	Non-zeroes:	7042446
iters time:	2	Sun Apr  7 21:08:26 2019

Substep:	72
MEL:	701671	MELES:	192304
Equs:	366030	Non-zeroes:	7047099
iters time:	2	Sun Apr  7 21:08:28 2019

Substep:	73
MEL:	702088	MELES:	192304
Equs:	366030	Non-zeroes:	7050852
iters time:	2	Sun Apr  7 21:08:30 2019

Substep:	74
MEL:	702585	MELES:	192304
Equs:	366030	Non-zeroes:	7055325
iters time:	2	Sun Apr  7 21:08:32 2019

Substep:	75
MEL:	703112	MELES:	192304
Equs:	366030	Non-zeroes:	7060068
iters time:	2	Sun Apr  7 21:08:34 2019
