stack:92 of 359	Mon Feb 27 15:44:37 2017
stack:93 of 359	Mon Feb 27 15:44:37 2017
stack:94 of 359	Mon Feb 27 15:44:38 2017
stack:95 of 359	Mon Feb 27 15:44:38 2017
stack:96 of 359	Mon Feb 27 15:44:38 2017
stack:97 of 359	Mon Feb 27 15:44:38 2017
stack:98 of 359	Mon Feb 27 15:44:38 2017
stack:99 of 359	Mon Feb 27 15:44:38 2017
stack:100 of 359	Mon Feb 27 15:44:38 2017
stack:101 of 359	Mon Feb 27 15:44:38 2017
stack:102 of 359	Mon Feb 27 15:44:38 2017
stack:103 of 359	Mon Feb 27 15:44:38 2017
stack:104 of 359	Mon Feb 27 15:44:38 2017
stack:105 of 359	Mon Feb 27 15:44:38 2017
stack:106 of 359	Mon Feb 27 15:44:38 2017
stack:107 of 359	Mon Feb 27 15:44:39 2017
stack:108 of 359	Mon Feb 27 15:44:39 2017
stack:109 of 359	Mon Feb 27 15:44:39 2017
stack:110 of 359	Mon Feb 27 15:44:39 2017
stack:111 of 359	Mon Feb 27 15:44:39 2017
stack:112 of 359	Mon Feb 27 15:44:39 2017
stack:113 of 359	Mon Feb 27 15:44:39 2017
stack:114 of 359	Mon Feb 27 15:44:39 2017
stack:115 of 359	Mon Feb 27 15:44:39 2017
stack:116 of 359	Mon Feb 27 15:44:39 2017
stack:117 of 359	Mon Feb 27 15:44:39 2017
stack:118 of 359	Mon Feb 27 15:44:39 2017
stack:119 of 359	Mon Feb 27 15:44:39 2017
stack:120 of 359	Mon Feb 27 15:44:39 2017
stack:121 of 359	Mon Feb 27 15:44:40 2017
stack:122 of 359	Mon Feb 27 15:44:40 2017
stack:123 of 359	Mon Feb 27 15:44:40 2017
stack:124 of 359	Mon Feb 27 15:44:40 2017
stack:125 of 359	Mon Feb 27 15:44:40 2017
stack:126 of 359	Mon Feb 27 15:44:40 2017
stack:127 of 359	Mon Feb 27 15:44:40 2017
stack:128 of 359	Mon Feb 27 15:44:40 2017
stack:129 of 359	Mon Feb 27 15:44:40 2017
stack:130 of 359	Mon Feb 27 15:44:40 2017
stack:131 of 359	Mon Feb 27 15:44:40 2017
stack:132 of 359	Mon Feb 27 15:44:40 2017
stack:133 of 359	Mon Feb 27 15:44:41 2017
stack:134 of 359	Mon Feb 27 15:44:41 2017
stack:135 of 359	Mon Feb 27 15:44:41 2017
stack:136 of 359	Mon Feb 27 15:44:41 2017
stack:137 of 359	Mon Feb 27 15:44:41 2017
stack:138 of 359	Mon Feb 27 15:44:41 2017
stack:139 of 359	Mon Feb 27 15:44:41 2017
stack:140 of 359	Mon Feb 27 15:44:41 2017
stack:141 of 359	Mon Feb 27 15:44:41 2017
stack:142 of 359	Mon Feb 27 15:44:41 2017
stack:143 of 359	Mon Feb 27 15:44:41 2017
stack:144 of 359	Mon Feb 27 15:44:41 2017
stack:145 of 359	Mon Feb 27 15:44:41 2017
stack:146 of 359	Mon Feb 27 15:44:42 2017
stack:147 of 359	Mon Feb 27 15:44:42 2017
stack:148 of 359	Mon Feb 27 15:44:42 2017
stack:149 of 359	Mon Feb 27 15:44:42 2017
stack:150 of 359	Mon Feb 27 15:44:42 2017
stack:151 of 359	Mon Feb 27 15:44:42 2017
stack:152 of 359	Mon Feb 27 15:44:42 2017
stack:153 of 359	Mon Feb 27 15:44:42 2017
stack:154 of 359	Mon Feb 27 15:44:42 2017
stack:155 of 359	Mon Feb 27 15:44:42 2017
stack:156 of 359	Mon Feb 27 15:44:42 2017
stack:157 of 359	Mon Feb 27 15:44:42 2017
stack:158 of 359	Mon Feb 27 15:44:42 2017
stack:159 of 359	Mon Feb 27 15:44:42 2017
stack:160 of 359	Mon Feb 27 15:44:43 2017
stack:161 of 359	Mon Feb 27 15:44:43 2017
stack:162 of 359	Mon Feb 27 15:44:43 2017
stack:163 of 359	Mon Feb 27 15:44:43 2017
stack:164 of 359	Mon Feb 27 15:44:43 2017
stack:165 of 359	Mon Feb 27 15:44:43 2017
stack:166 of 359	Mon Feb 27 15:44:43 2017
stack:167 of 359	Mon Feb 27 15:44:43 2017
stack:168 of 359	Mon Feb 27 15:44:43 2017
stack:169 of 359	Mon Feb 27 15:44:43 2017
